序号,类别,器件名称,推荐型号,接口,供电,关键参数,对应协议类型码,数量,参考单价(元),备注
1,主控,边缘 AI 计算套件,广和通 SC171 开发套件 V3（高通 QCM6490）,开发套件底板,-,8 核 ARM v8 最高 2.7GHz / 13 TOPS / WiFi + BT / 最多 5 路摄像头,-,1,-,竞赛指定平台；出厂 Ubuntu 20.04 + Python 3.8 + ROS 2 + Fibo AI Stack
2,感知,温湿度传感器,Sensirion SHT40,I2C,3.3V,±0.2°C / ±1.8%RH,0x01 0x02,1,10~20,优于 AHT20；同系列 SHT31 可替代
3,感知,光照强度传感器,ROHM BH1750FVI,I2C,3.3V,1 - 65535 lx,0x03,1,5~12,数字输出免标定，优于光敏电阻
4,感知,空气质量传感器,Sensirion SGP30,I2C,3.3V,TVOC 0 - 60000 ppb（同出 eCO2 估算值）,0x04,1,40~70,需要 48h 老化与基线校准
5,感知,二氧化碳传感器,Sensirion SCD41,I2C,3.3V,400 - 5000 ppm（真 NDIR 光声式）,0x05,1,120~200,预算紧张可换 MH-Z19C（UART，约 50 元）
6,感知,颗粒物传感器,Plantower PMS5003,UART,5V,PM1.0 / PM2.5 / PM10（µg/m³）,0x06,1,60~100,进风口需留风道；5V 峰值电流较大
7,感知,红外接近传感器,Broadcom APDS-9960,I2C,3.3V,接近 0 - 100 mm + 环境光 + 手势识别,0x07,1,10~25,一器件三用；低成本可换 TCRT5000
8,感知,毫米波雷达（24GHz）,海凌科 LD2410C,UART,5V,人体存在 / 运动静止状态 / 目标距离 0.75 - 6 m,0x08 0x09,1,25~40,负责存在与测距
9,感知,毫米波雷达（60GHz）,Seeed MR60BHA1,UART,5V,呼吸 ≥90% / 心率 ≥85%，距离 0.4 - 1.5 m,0x0A 0x0B,1,180~260,呼吸心率必须用 60GHz，24GHz 做不到
10,感知,光敏电阻,GL5528 + 10kΩ 分压,ADC,3.3V,电阻式光照强度,0x0C,1,1~3,留作光照冗余通道与 ADC 演示
11,视觉,高清摄像头模组,IMX219（8MP）或 IMX415（4K）,MIPI-CSI,3.3V,最高 5 路摄像头输入,CAMERA_*,1,60~150,与 SC171 V3 的 MIPI-CSI 排线配套
12,听觉,数字 MEMS 麦克风,INMP441（I2S）,I2S,3.3V,4 颗组成线阵,语音链路,4,8~15,也可直接用 ReSpeaker 4-Mic Array（USB）
13,交互,RGB 灯执行器,WS2812B 灯带,GPIO / PWM,5V,3 路 PWM 独立调光,PWM_SET,1,15~30,对应平台 PWM 控灯接口
14,交互,有源蜂鸣器,5V 有源蜂鸣器,GPIO,5V,智能提醒本地提示音,-,1,2~5,配合语音提示
15,姿态,六轴 IMU（可选）,ICM-42688-P 或 MPU6050,SPI / I2C,3.3V,设备本体姿态与振动,-,1,15~40,人体姿态检测主要由摄像头承担
16,供电,5V 电源模块,5V/3A DC-DC 模块或 USB-C 供电,-,12V 转 5V,为雷达与 PM2.5 提供 5V,-,1,20~40,雷达 + PMS5003 峰值电流较大
17,连接,双向电平转换模块,TXS0108E,I2C / UART,3.3V 与 5V,低压域与 5V 器件互连,-,2,3~8,SC171 IO 为低压域，5V 器件必须转换
